"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","OK","Oklahoma","Pottawatomie","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","30.8",,,"27.7","34.2","73,791","56,848","40125","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-96.9484617397084 35.2066298442372)"
"2023","OK","Oklahoma","Pittsburg","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","16.2",,,"14.3","18.4","43,479","33,556","40121","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress","POINT (-95.7484483900286 34.9238785325748)"
"2023","OK","Oklahoma","Nowata","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Age-adjusted prevalence","20.6",,,"17.5","24.0","9,438","7,235","40105","RISKBEH","CSMOKING","AgeAdjPrv","Current Cigarette Smoking","POINT (-95.6173671917311 36.7984587733773)"
"2023","OK","Oklahoma","Custer","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","15.2",,,"12.1","18.6","28,266","21,204","40039","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps","POINT (-99.0014382075911 35.6388260290226)"
"2023","OK","Oklahoma","Jefferson","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence","41.2",,,"32.7","50.4","5,347","4,030","40067","HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-97.8360732655638 34.1106274427473)"
"2023","OK","Oklahoma","Pontotoc","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Age-adjusted prevalence","7.0",,,"6.3","7.8","38,396","28,720","40123","HLTHOUT","CANCER","AgeAdjPrv","Cancer (non-skin) or Melanoma","POINT (-96.6840015218125 34.7283176992879)"
"2023","OK","Oklahoma","Dewey","BRFSS","Health-Related Social Needs","Lack of reliable transportation in the past 12 months among adults","%","Age-adjusted prevalence","9.3",,,"7.8","10.8","4,286","3,145","40043","SOCLNEED","LACKTRPT","AgeAdjPrv","Transportation Barriers","POINT (-99.0080105233422 35.9876568754253)"
"2023","OK","Oklahoma","McCurtain","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","5.6",,,"5.0","6.3","30,660","22,566","40089","DISABLT","SELFCARE","CrdPrv","Self-care Disability","POINT (-94.7715433530393 34.1163901296428)"
"2023","OK","Oklahoma","Pushmataha","BRFSS","Prevention","Cholesterol screening among adults","%","Age-adjusted prevalence","80.0",,,"77.1","82.7","10,800","8,446","40127","PREVENT","CHOLSCREEN","AgeAdjPrv","Cholesterol Screening","POINT (-95.375998987891 34.416281814947)"
"2023","OK","Oklahoma","Craig","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence","8.7",,,"7.8","9.7","14,494","11,115","40035","HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma","POINT (-95.2084350557607 36.7615458238067)"
"2023","OK","Oklahoma","Grady","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","3.8",,,"3.3","4.5","57,375","44,065","40051","DISABLT","SELFCARE","CrdPrv","Self-care Disability","POINT (-97.8841663460881 35.0166148085145)"
"2023","OK","Oklahoma","Lincoln","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence","84.7",,,"82.4","86.8","34,562","26,523","40081","PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening","POINT (-96.8809102714908 35.7030440513978)"
"2023","OK","Oklahoma","Oklahoma","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Crude prevalence","10.8",,,"9.2","12.5","808,866","605,014","40109","SOCLNEED","SHUTUTILITY","CrdPrv","Utility Services Threat","POINT (-97.4071852848576 35.5514988566603)"
"2023","OK","Oklahoma","Noble","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence","3.2",,,"2.8","3.5","10,832","8,403","40103","HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-97.2306034414518 36.3884982575705)"
